ToxPrint_ID,ToxPrint_chemotype_name (original),Level 1,Level 2,Level 3,Level 4,Level 5,Level 2 full,Level 3 full,Level 4 full,Level 5 full
561,group:ligand_path_4_polydentate_EDTA,group,ligand_path,4_polydentate,EDTA,,group:ligand_path,group:ligand_path_4_polydentate,group:ligand_path_4_polydentate_EDTA,group:ligand_path_4_polydentate_EDTA
562,group:ligand_path_4_polydentate_NTA,group,ligand_path,4_polydentate,NTA,,group:ligand_path,group:ligand_path_4_polydentate,group:ligand_path_4_polydentate_NTA,group:ligand_path_4_polydentate_NTA
563,group:ligand_path_4_tridentate,group,ligand_path,4_tridentate,,,group:ligand_path,group:ligand_path_4_tridentate,group:ligand_path_4_tridentate,group:ligand_path_4_tridentate
564,group:ligand_path_4-5_macrocycle_tetrazacyclotetradecane,group,ligand_path,4-5_macrocycle_tetrazacyclotetradecane,,,group:ligand_path,group:ligand_path_4-5_macrocycle_tetrazacyclotetradecane,group:ligand_path_4-5_macrocycle_tetrazacyclotetradecane,group:ligand_path_4-5_macrocycle_tetrazacyclotetradecane
565,group:ligand_path_4-5_tridentate,group,ligand_path,4-5_tridentate,,,group:ligand_path,group:ligand_path_4-5_tridentate,group:ligand_path_4-5_tridentate,group:ligand_path_4-5_tridentate
566,group:ligand_path_5_bidentate_ACAC,group,ligand_path,5_bidentate,ACAC,,group:ligand_path,group:ligand_path_5_bidentate,group:ligand_path_5_bidentate_ACAC,group:ligand_path_5_bidentate_ACAC
567,group:ligand_path_5_bidentate_aminopropanal,group,ligand_path,5_bidentate,aminopropanal,,group:ligand_path,group:ligand_path_5_bidentate,group:ligand_path_5_bidentate_aminopropanal,group:ligand_path_5_bidentate_aminopropanal
568,group:ligand_path_5_bidentate_bipyridylmethyl,group,ligand_path,5_bidentate,bipyridylmethyl,,group:ligand_path,group:ligand_path_5_bidentate,group:ligand_path_5_bidentate_bipyridylmethyl,group:ligand_path_5_bidentate_bipyridylmethyl
569,group:ligand_path_5_bidentate_bipyrrolidilmethyl,group,ligand_path,5_bidentate,bipyrrolidilmethyl,,group:ligand_path,group:ligand_path_5_bidentate,group:ligand_path_5_bidentate_bipyrrolidilmethyl,group:ligand_path_5_bidentate_bipyrrolidilmethyl
570,group:ligand_path_5_bidentate_diformamide,group,ligand_path,5_bidentate,diformamide,,group:ligand_path,group:ligand_path_5_bidentate,group:ligand_path_5_bidentate_diformamide,group:ligand_path_5_bidentate_diformamide
571,group:ligand_path_5_bidentate_malonate,group,ligand_path,5_bidentate,malonate,,group:ligand_path,group:ligand_path_5_bidentate,group:ligand_path_5_bidentate_malonate,group:ligand_path_5_bidentate_malonate
572,group:ligand_path_5_bidentate_propandiamine,group,ligand_path,5_bidentate,propandiamine,,group:ligand_path,group:ligand_path_5_bidentate,group:ligand_path_5_bidentate_propandiamine,group:ligand_path_5_bidentate_propandiamine
573,group:ligand_path_5_bidentate_propanolamine,group,ligand_path,5_bidentate,propanolamine,,group:ligand_path,group:ligand_path_5_bidentate,group:ligand_path_5_bidentate_propanolamine,group:ligand_path_5_bidentate_propanolamine
574,group:ligand_path_5_macrocycle,group,ligand_path,5_macrocycle,,,group:ligand_path,group:ligand_path_5_macrocycle,group:ligand_path_5_macrocycle,group:ligand_path_5_macrocycle
575,group:ligand_path_5_tridentate,group,ligand_path,5_tridentate,,,group:ligand_path,group:ligand_path_5_tridentate,group:ligand_path_5_tridentate,group:ligand_path_5_tridentate
576,group:ligand_path_5_tridentate_3-hydroxycadaverine,group,ligand_path,5_tridentate,3-hydroxycadaverine,,group:ligand_path,group:ligand_path_5_tridentate,group:ligand_path_5_tridentate_3-hydroxycadaverine,group:ligand_path_5_tridentate_3-hydroxycadaverine
577,group:ligand_path_5-7_bidentate,group,ligand_path,5-7_bidentate,,,group:ligand_path,group:ligand_path_5-7_bidentate,group:ligand_path_5-7_bidentate,group:ligand_path_5-7_bidentate
578,group:nucleobase_adenine,group,nucleobase,adenine,,,group:nucleobase,group:nucleobase_adenine,group:nucleobase_adenine,group:nucleobase_adenine
579,group:nucleobase_cytosine,group,nucleobase,cytosine,,,group:nucleobase,group:nucleobase_cytosine,group:nucleobase_cytosine,group:nucleobase_cytosine
580,group:nucleobase_guanine,group,nucleobase,guanine,,,group:nucleobase,group:nucleobase_guanine,group:nucleobase_guanine,group:nucleobase_guanine
581,group:nucleobase_guanine_7-methyl,group,nucleobase,guanine_7-methyl,,,group:nucleobase,group:nucleobase_guanine_7-methyl,group:nucleobase_guanine_7-methyl,group:nucleobase_guanine_7-methyl
582,group:nucleobase_thymine,group,nucleobase,thymine,,,group:nucleobase,group:nucleobase_thymine,group:nucleobase_thymine,group:nucleobase_thymine
583,group:nucleobase_uracil,group,nucleobase,uracil,,,group:nucleobase,group:nucleobase_uracil,group:nucleobase_uracil,group:nucleobase_uracil
584,group:nucleobase_hypoxanthine,group,nucleobase,hypoxanthine,,,group:nucleobase,group:nucleobase_hypoxanthine,group:nucleobase_hypoxanthine,group:nucleobase_hypoxanthine
585,group:nucleobase_xanthine_purine-2_6-dione,group,nucleobase,xanthine_purine-2_6-dione,,,group:nucleobase,group:nucleobase_xanthine_purine-2_6-dione,group:nucleobase_xanthine_purine-2_6-dione,group:nucleobase_xanthine_purine-2_6-dione
586,ring:aromatic_benzene,ring,aromatic,benzene,,,ring:aromatic,ring:aromatic_benzene,ring:aromatic_benzene,ring:aromatic_benzene
587,ring:aromatic_biphenyl,ring,aromatic,biphenyl,,,ring:aromatic,ring:aromatic_biphenyl,ring:aromatic_biphenyl,ring:aromatic_biphenyl
588,ring:aromatic_phenyl,ring,aromatic,phenyl,,,ring:aromatic,ring:aromatic_phenyl,ring:aromatic_phenyl,ring:aromatic_phenyl
589,ring:fused_[5_6]_indane,ring,fused,[5_6],indane,,ring:fused,ring:fused_[5_6],ring:fused_[5_6]_indane,ring:fused_[5_6]_indane
590,ring:fused_[5_6]_indene,ring,fused,[5_6],indene,,ring:fused,ring:fused_[5_6],ring:fused_[5_6]_indene,ring:fused_[5_6]_indene
591,ring:fused_[5_7]_azulene,ring,fused,[5_7]_azulene,,,ring:fused,ring:fused_[5_7]_azulene,ring:fused_[5_7]_azulene,ring:fused_[5_7]_azulene
592,ring:fused_[6_6]_naphthalene,ring,fused,[6_6],naphthalene,,ring:fused,ring:fused_[6_6],ring:fused_[6_6]_naphthalene,ring:fused_[6_6]_naphthalene
593,ring:fused_[6_6]_tetralin,ring,fused,[6_6],tetralin,,ring:fused,ring:fused_[6_6],ring:fused_[6_6]_tetralin,ring:fused_[6_6]_tetralin
594,ring:fused_PAH_acenaphthylene,ring,fused,PAH,acenaphthylene,,ring:fused,ring:fused_PAH,ring:fused_PAH_acenaphthylene,ring:fused_PAH_acenaphthylene
595,ring:fused_PAH_anthanthrene,ring,fused,PAH,anthanthrene,,ring:fused,ring:fused_PAH,ring:fused_PAH_anthanthrene,ring:fused_PAH_anthanthrene
596,ring:fused_PAH_anthracene,ring,fused,PAH,anthracene,,ring:fused,ring:fused_PAH,ring:fused_PAH_anthracene,ring:fused_PAH_anthracene
597,ring:fused_PAH_benz(a)anthracene,ring,fused,PAH,benz(a)anthracene,,ring:fused,ring:fused_PAH,ring:fused_PAH_benz(a)anthracene,ring:fused_PAH_benz(a)anthracene
598,ring:fused_PAH_benzophenanthrene,ring,fused,PAH,benzophenanthrene,,ring:fused,ring:fused_PAH,ring:fused_PAH_benzophenanthrene,ring:fused_PAH_benzophenanthrene
599,ring:fused_PAH_fluorene,ring,fused,PAH,fluorene,,ring:fused,ring:fused_PAH,ring:fused_PAH_fluorene,ring:fused_PAH_fluorene
600,ring:fused_PAH_phenanthrene,ring,fused,PAH,phenanthrene,,ring:fused,ring:fused_PAH,ring:fused_PAH_phenanthrene,ring:fused_PAH_phenanthrene
601,ring:fused_PAH_pyrene,ring,fused,PAH,pyrene,,ring:fused,ring:fused_PAH,ring:fused_PAH_pyrene,ring:fused_PAH_pyrene
